field_prime_e1,field_prime_e2,field_prime_e3,trace_e1,trace_e2,trace_e3,cm_discriminant_e1,cm_conductor_e1,cm_discriminant_e2,cm_conductor_e2,cm_discriminant_e3,cm_conductor_e3,embedding_degree_e1,embedding_degree_e2,embedding_degree_e3,target_position_count,rho_max,status,first_rejecting_condition
7,11,13,-3,-1,7,-19,1,-43,1,-3,1,10,12,2,2,1.318123223062,two_of_three,k3_not_in_3_12
7,13,11,-5,3,5,-3,1,-43,1,-19,1,12,10,3,3,1.232274405867,hit,none
11,13,17,-1,-3,7,-43,1,-43,1,-19,1,12,4,10,3,1.181541736287,hit,none
11,17,13,-5,5,3,-19,1,-43,1,-43,1,>12,6,10,2,1.104588414510,two_of_three,k1_not_in_3_12
13,17,19,-3,-1,7,-43,1,-67,1,-3,3,4,9,12,3,1.147952091374,hit,none
13,19,17,-5,3,5,-3,3,-67,1,-43,1,>12,8,6,2,1.104588414510,two_of_three,k1_not_in_3_12
17,23,19,-5,5,3,-43,1,-67,1,-67,1,>12,9,8,2,1.064886804622,two_of_three,k1_not_in_3_12
23,29,31,-5,-1,9,-67,1,-115,1,-43,1,7,10,11,3,1.095198067035,hit,none
23,31,29,-7,3,7,-43,1,-115,1,-67,1,10,>12,11,2,1.073928254398,two_of_three,k2_not_in_3_12
29,31,37,-1,-5,9,-115,1,-11,3,-67,1,10,4,>12,2,1.072349474165,two_of_three,k3_not_in_3_12
29,37,31,-7,7,3,-67,1,-11,3,-115,1,12,6,>12,2,1.051523403444,two_of_three,k3_not_in_3_12
31,37,41,-5,-3,11,-11,3,-139,1,-43,1,4,5,>12,2,1.081416978448,two_of_three,k3_not_in_3_12
31,37,43,-5,-5,13,-11,3,-123,1,-3,1,4,6,>12,2,1.095286584289,two_of_three,k3_not_in_3_12
31,41,37,-9,5,7,-43,1,-139,1,-11,3,10,>12,6,2,1.051523403444,two_of_three,k2_not_in_3_12
31,41,43,-9,-1,13,-43,1,-163,1,-3,1,10,7,>12,2,1.095286584289,two_of_three,k3_not_in_3_12
31,43,37,-11,7,7,-3,1,-123,1,-11,3,>12,4,6,2,1.051523403444,two_of_three,k1_not_in_3_12
37,41,43,-3,-1,7,-139,1,-163,1,-123,1,5,7,4,3,1.041618836729,hit,none
37,41,47,-3,-5,11,-139,1,-139,1,-67,1,5,>12,3,2,1.066251766131,two_of_three,k2_not_in_3_12
37,43,47,-5,-3,11,-123,1,-163,1,-67,1,6,>12,3,2,1.066251766131,two_of_three,k2_not_in_3_12
37,47,43,-9,5,7,-67,1,-163,1,-123,1,>12,7,4,2,1.041618836729,two_of_three,k1_not_in_3_12
89,103,97,-13,7,9,-187,1,-3,11,-307,1,>12,12,11,2,1.019176115346,two_of_three,k1_not_in_3_12
89,107,101,-17,7,13,-67,1,-379,1,-235,1,>12,10,8,2,1.028178746659,two_of_three,k1_not_in_3_12
97,109,113,-11,-3,17,-267,1,-427,1,-163,1,>12,7,12,2,1.033374095309,two_of_three,k1_not_in_3_12
101,109,107,-7,3,7,-355,1,-427,1,-379,1,12,>12,10,2,1.012504184324,two_of_three,k2_not_in_3_12
101,109,113,-7,-3,13,-355,1,-427,1,-283,1,12,7,>12,2,1.024325974037,two_of_three,k3_not_in_3_12
127,137,131,-9,7,5,-427,1,-499,1,-499,1,8,>12,7,2,1.009186008208,two_of_three,k2_not_in_3_12
127,137,149,-9,-11,23,-427,1,-427,1,-67,1,8,>12,9,2,1.032979572555,two_of_three,k2_not_in_3_12
191,197,211,-5,-13,21,-739,1,-619,1,-403,1,7,6,>12,2,1.018960304865,two_of_three,k3_not_in_3_12
197,199,211,-1,-11,15,-787,1,-3,15,-619,1,>12,7,4,2,1.012994843331,two_of_three,k1_not_in_3_12
233,241,257,-7,-15,25,-883,1,-739,1,-403,1,8,4,>12,2,1.017985129286,two_of_three,k3_not_in_3_12
241,257,271,-15,-13,31,-739,1,-859,1,-123,1,4,>12,8,2,1.021390379409,two_of_three,k2_not_in_3_12
251,281,271,-29,11,21,-163,1,-1003,1,-643,1,>12,5,5,2,1.013875040217,two_of_three,k1_not_in_3_12
431,439,457,-7,-17,27,-67,5,-163,3,-1099,1,>12,12,10,2,1.009656158433,two_of_three,k1_not_in_3_12
569,601,577,-31,25,9,-1315,1,-1779,1,-2227,1,10,4,>12,2,1.006409826844,two_of_three,k3_not_in_3_12
991,1019,1033,-27,-13,43,-3235,1,-3907,1,-2283,1,>12,12,11,2,1.006016763642,two_of_three,k1_not_in_3_12
2663,2729,2711,-65,19,49,-6427,1,-10555,1,-8443,1,8,5,>12,2,1.002264966558,two_of_three,k3_not_in_3_12
2663,2729,2719,-65,11,57,-6427,1,-10795,1,-7627,1,8,>12,11,2,1.002638558191,two_of_three,k2_not_in_3_12
2917,2939,2971,-21,-31,55,-11227,1,-10795,1,-8859,1,>12,11,4,2,1.002299096346,two_of_three,k1_not_in_3_12
8011,8101,8191,-89,-89,181,-24123,1,-24483,1,-3,1,4,6,>12,2,1.002472071880,two_of_three,k3_not_in_3_12
8011,8191,8101,-179,91,91,-3,1,-24483,1,-24123,1,>12,4,6,2,1.001242902100,two_of_three,k1_not_in_3_12
9391,9403,9521,-11,-117,131,-37443,1,-23923,1,-427,7,>12,7,10,2,1.001502934230,two_of_three,k1_not_in_3_12
10513,10639,10691,-125,-51,179,-26427,1,-39955,1,-10723,1,>12,5,8,2,1.001813068302,two_of_three,k1_not_in_3_12
482659,483883,483481,-1223,403,823,-48323,3,-1773123,1,-1256595,1,>12,5,11,2,1.000130022818,two_of_three,k1_not_in_3_12
920641,921601,922561,-959,-959,1921,-306987,3,-2766723,1,-3,1,4,6,>12,2,1.000151704530,two_of_three,k3_not_in_3_12
920641,922561,921601,-1919,961,961,-3,1,-2766723,1,-306987,3,>12,4,6,2,1.000075891771,two_of_three,k1_not_in_3_12
3894703,3896677,3898651,-1973,-1973,3949,-11686083,1,-1299331,3,-3,1,4,6,>12,2,1.000066765239,two_of_three,k3_not_in_3_12
3894703,3898651,3896677,-3947,1975,1975,-3,1,-1299331,3,-11686083,1,>12,4,6,2,1.000033391075,two_of_three,k1_not_in_3_12
5902471,5904901,5907331,-2429,-2429,4861,-17709843,1,-17719563,1,-3,1,4,6,>12,2,1.000052790162,two_of_three,k3_not_in_3_12
5902471,5907331,5904901,-4859,2431,2431,-3,1,-17719563,1,-17709843,1,>12,4,6,2,1.000026400512,two_of_three,k1_not_in_3_12
7450171,7452901,7455631,-2729,-2729,5461,-22353243,1,-2484907,3,-3,1,4,6,>12,2,1.000046297545,two_of_three,k3_not_in_3_12
